gwas_id_1,gwas_id_2,n_snps,rg,pval,se,z,h2_obs_1,h2_obs_se_1,h2_int_1,h2_int_se_1,h2_obs_2,h2_obs_se_2,h2_int_2,h2_int_se_2,gcov_int,gcov_int_se,trait_abbreviation_1,trait_name_1,collection_1,trait_abbreviation_2,trait_name_2,collection_2
4461,4462,1167833,0.900533577754188,8.997786393484381e-128,0.037,24.047,0.039409857694083776,0.002421325770320833,1.02423378034837,0.007710536062567183,0.03481609099642576,0.0024242935094529925,1.019162615149288,0.006833378456983306,0.2189909237672237,0.005463603732934841,back_pain,Self reported back pain,PAIN-3,neck_pain,Self reported neck pain,PAIN-3
4461,4463,1167833,0.5518720212265324,1.6041006276115694e-08,0.098,5.65,0.0394098576940843,0.0026054567052424807,1.024233780348368,0.008082007943547978,0.007203658570631173,0.002045673352834405,1.0038359056936081,0.006844571331770907,0.05555938069547288,0.004939973539561485,back_pain,Self reported back pain,PAIN-3,facial_pain,Self reported facial pain,PAIN-3
4462,4463,1167833,0.7440272620978634,3.8528138915388385e-10,0.119,6.26,0.03481609099642621,0.0022357931078988173,1.0191626151492865,0.007268782749251114,0.00720365857063087,0.0019434968666751874,1.0038359056936093,0.006457493428359731,0.09185591824038516,0.005017413756335419,neck_pain,Self reported neck pain,PAIN-3,facial_pain,Self reported facial pain,PAIN-3
4461,4464,1167833,0.4259824832432416,1.3759913472367374e-31,0.036,11.693,0.03940985769408509,0.0026264426746813053,1.0242337803483657,0.007980251982141322,0.0468599598237064,0.002917564008436925,1.0018294699410746,0.007358606608122721,0.1519871713418224,0.004732638795441979,back_pain,Self reported back pain,PAIN-3,head_pain,Self reported head pain,PAIN-3
4462,4464,1167833,0.5072646053015112,1.1060569556655534e-53,0.033,15.425,0.03481609099642605,0.0022942975049540363,1.0191626151492874,0.007005656895742819,0.0468599598237058,0.002941266938640314,1.0018294699410766,0.007327407726458362,0.21184190127279093,0.005181820561660787,neck_pain,Self reported neck pain,PAIN-3,head_pain,Self reported head pain,PAIN-3
4463,4464,1167833,0.5969096780670435,2.9034496702107506e-09,0.101,5.937,0.007203658570630484,0.0018702857367750316,1.003835905693611,0.006838481575362785,0.046859959823706936,0.002778359140694172,1.0018294699410724,0.007129750476026374,0.13918146210500135,0.005277520710116069,facial_pain,Self reported facial pain,PAIN-3,head_pain,Self reported head pain,PAIN-3
4461,4465,1167833,0.798872525985763,7.088708790200372e-82,0.042,19.166,0.039409857694083894,0.0026314469891395476,1.0242337803483692,0.008208381661892687,0.025127379913228363,0.002251921951885053,1.0189800689824933,0.006952312190497706,0.23235780420417276,0.005190719597987112,back_pain,Self reported back pain,PAIN-3,hip_pain,Self reported hip pain,PAIN-3
4462,4465,1167833,0.8404188060474094,1.0196549618881314e-69,0.048,17.65,0.034816090996426255,0.0022390992163391545,1.019162615149286,0.007145461470248792,0.025127379913227936,0.002140193044443251,1.0189800689824937,0.006500183334739275,0.17522904255265107,0.005076771493789497,neck_pain,Self reported neck pain,PAIN-3,hip_pain,Self reported hip pain,PAIN-3
4463,4465,1167833,0.6550534291378728,1.366374484733879e-07,0.124,5.27,0.0072036585706303745,0.001931906240076424,1.0038359056936117,0.006776253336746044,0.025127379913228175,0.00221781827412749,1.0189800689824935,0.006986206226221746,0.045858062232392874,0.004895154905611263,facial_pain,Self reported facial pain,PAIN-3,hip_pain,Self reported hip pain,PAIN-3
4464,4465,1167833,0.307636430829937,1.8503685236422225e-12,0.044,7.045,0.04685995982370668,0.0028191827699456905,1.0018294699410735,0.007180736345039017,0.025127379913227606,0.0022219252655876686,1.0189800689824957,0.006751532780754803,0.09608084717977539,0.004893661589852817,head_pain,Self reported head pain,PAIN-3,hip_pain,Self reported hip pain,PAIN-3
